id,node_code_st,node_code_en,voltage,length_km,reactance,ttc_mw
430,VS_1024,SS_433,240,7.8,0.0034,624
431,SS_405,SS_607,240,107.1,0.04647,624
432,VS_1011,VS_1017,240,5,0.00218,624
433,VS_1017,VS_1011,240,5.2,0.00226,624
434,VS_1019,VS_1025,230,30.9,0.01685,558
435,SS_435,SS_436,138,14.3,0.02435,239
436,SS_437,SS_436,240,6.1,0.00263,624
437,SS_126,SS_210,500,96.2,0.00485,1039
438,SS_383,SS_126,230,14.8,0.00808,558
439,VS_1026,SS_445,230,3.7,0.00205,558
440,SS_446,SS_48,500,91.4,0.0046,1039
441,SS_265,SS_446,230,1.5,0.00083,558
442,SS_214,SS_216,230,5.3,0.00289,558
443,SS_233,SS_214,230,7.7,0.00421,558
444,SS_214,SS_337,230,23,0.01255,558
445,SS_646,SS_790,230,190.7,0.10421,558
446,SS_437,SS_448,240,121,0.05252,624
447,SS_587,VS_888,230,2.5,0.00137,558
448,SS_587,VS_1029,230,166.4,0.09091,558
449,SS_451,VS_1031,230,4.9,0.00266,558
450,SS_452,SS_451,230,20.8,0.01138,558
451,SS_453,VS_1032,230,3.2,0.00175,558
452,SS_735,SS_297,230,11.2,0.0061,558
453,SS_308,SS_454,230,48.5,0.02649,558
454,SS_454,VS_948,230,35,0.01913,558
455,VS_882,SS_298,230,21.3,0.01162,558
456,SS_716,VS_1037,230,26.1,0.01426,558
457,SS_146,SS_145,287,101.5,0.03561,696
458,SS_145,VS_1038,287,4.2,0.00146,696
459,VS_946,SS_227,230,4.5,0.00245,558
460,VS_946,SS_227,230,4.5,0.00246,558
461,VS_946,SS_227,230,4.5,0.00248,558
462,VS_1039,SS_706,230,17.2,0.0094,558
463,SS_471,VS_880,735,2.8,5.00E-05,1910
464,SS_329,SS_305,735,305.6,0.00566,1910
465,SS_305,SS_181,735,368.8,0.00683,1910
466,SS_146,SS_584,500,245.9,0.01239,1039
467,SS_266,SS_388,500,239.8,0.01209,1039
468,VS_1041,SS_503,230,19.1,0.01046,558
469,VS_1042,SS_266,230,2.7,0.0015,558
470,SS_456,VS_1042,230,3.5,0.00191,558
471,SS_458,SS_459,230,64.4,0.03517,558
472,SS_712,SS_459,230,116.1,0.06342,558
473,SS_357,SS_461,230,157.7,0.08613,558
474,SS_339,SS_455,240,105.2,0.04568,624
475,VS_913,SS_462,240,9.3,0.00404,624
476,SS_67,VS_913,240,7,0.00304,624
477,SS_554,SS_463,230,3.8,0.00208,558
478,SS_554,SS_463,230,4.3,0.00233,558
479,SS_464,VS_1043,230,2.1,0.00114,558
480,VS_1043,VS_1044,230,2.7,0.0015,558
481,VS_1044,VS_1043,230,2.7,0.00149,558
482,SS_397,SS_395,230,38.8,0.02118,558
483,SS_393,SS_397,230,109.8,0.05998,558
484,SS_395,SS_393,230,71.9,0.03931,558
485,SS_376,SS_397,230,32.3,0.01765,558
486,SS_467,SS_384,230,8.6,0.00471,558
487,VS_1045,SS_382,230,76.4,0.04174,558
488,SS_125,SS_286,230,49.7,0.02718,558
489,SS_273,SS_272,450,7,0.001,1091
490,VS_1046,SS_117,315,110.8,0.02233,928
